index,intent,count,messages
0,password_reset_inquiry,0,"customer: Hello, I forgot my account password."
1,password_reset_instruction,1,assistant: No worries. You can reset it by tapping “Forgot password” on the login screen.
2,password_reset_confirmation_inquiry,2,customer: Will I get a reset email?
3,password_reset_email_confirmation,3,"assistant: Yes, you’ll receive an email with a link to create a new password."
4,password_reset_acknowledgement,4,"customer: Perfect, I’ll try that now."
5,additional_password_reset_guidance,5,"assistant: If you don’t see the email, please check your spam folder."
6,gratitude_acknowledgement,6,"customer: Got it, thanks."
7,assistance_closure,7,assistant: Glad I could help!
0,billing_issue_report,0,"customer: Hi, I was charged twice for the same order."
1,billing_issue_acknowledgement,1,assistant: I’m really sorry about that! Can you share the order number with me?
2,order_number_provided,2,"customer: Yes, it’s 58291."
3,billing_issue_verification,3,assistant: Thanks for that. I see two payments for the same order indeed.
4,refund_initiation,4,assistant: I’ll make sure one of the charges is refunded to your account.
5,refund_timeframe_inquiry,5,"customer: Great, how long will the refund take?"
6,refund_timeframe_information,6,assistant: Refunds are usually processed within 3–5 business days.
7,gratitude_acknowledgement,7,"customer: Okay, that works. Thank you for helping me."
8,assistance_closure,8,assistant: Of course! Happy to help. Is there anything else I can do for you today?
9,farewell_exchange,9,"customer: No, that’s all. Have a nice day!"
10,farewell_exchange,10,assistant: You too! Take care.
0,language_change_request,0,"customer: Hi, the app language switched to Dutch, but I want English."
1,language_change_instruction,1,assistant: Understood. You can change it in Settings → Language → English.
2,language_change_confirmation,2,"customer: Okay, let me check."
3,language_change_success_acknowledgement,3,"customer: Yes, that worked. Thanks!"
4,further_assistance_offer,4,assistant: Great to hear! Anything else I can help with?
5,conversation_closure_confirmation,5,"customer: No, that’s all."
6,conversation_closure_greeting,6,"assistant: Alright, have a good day!"
0,order_tracking_issue,0,"customer: Hi, I can’t track my order in the app."
1,order_tracking_information_request,1,assistant: Sorry about that. Can you give me your order number?
2,order_tracking_information_provided,2,customer: It’s 67221.
3,order_status_update,3,"assistant: Thank you. I see the order is on its way, but the tracking system is delayed."
4,delivery_expectation_reassurance,4,assistant: Your delivery should still arrive within the scheduled slot.
5,order_tracking_gratitude,5,"customer: Okay, thanks for checking."
6,delivery_update_offer,6,assistant: I’ll send you updates by SMS until it arrives.
7,assistance_acknowledgement,7,"customer: That’s helpful, thanks!"
8,gratitude_response,8,assistant: You’re very welcome!
