index,intent,count,messages
0,describe_issue,0,"customer: Hello, I forgot my account password."
1,offer_solution,1,assistant: No worries. You can reset it by tapping “Forgot password” on the login screen.
2,ask_reset_email_confirmation,2,customer: Will I get a reset email?
3,confirm_reset_email,3,"assistant: Yes, you’ll receive an email with a link to create a new password."
4,acknowledge_and_thank,4,"customer: Perfect, I’ll try that now."
5,offer_additional_guidance,5,"assistant: If you don’t see the email, please check your spam folder."
6,acknowledge,6,"customer: Got it, thanks."
7,close_conversation,7,assistant: Glad I could help!
0,describe_issue,0,"customer: Hi, I was charged twice for the same order."
1,ask_order_number,1,assistant: I’m really sorry about that! Can you share the order number with me?
2,provide_order_number,2,"customer: Yes, it’s 58291."
3,acknowledge,3,assistant: Thanks for that. I see two payments for the same order indeed.
4,offer_solution,4,assistant: I’ll make sure one of the charges is refunded to your account.
5,ask_refund_time,5,"customer: Great, how long will the refund take?"
6,inform_refund_time,6,assistant: Refunds are usually processed within 3–5 business days.
7,acknowledge_and_thank,7,"customer: Okay, that works. Thank you for helping me."
8,offer_additional_guidance,8,assistant: Of course! Happy to help. Is there anything else I can do for you today?
9,close_conversation,9,"customer: No, that’s all. Have a nice day!"
10,close_conversation,10,assistant: You too! Take care.
0,describe_issue,0,"customer: Hi, the app language switched to Dutch, but I want English."
1,offer_solution,1,assistant: Understood. You can change it in Settings → Language → English.
2,acknowledge,2,"customer: Okay, let me check."
3,express_gratitude,3,"customer: Yes, that worked. Thanks!"
4,ask_if_needs_further_assistance,4,assistant: Great to hear! Anything else I can help with?
5,end_request,5,"customer: No, that’s all."
6,close_conversation,6,"assistant: Alright, have a good day!"
0,describe_issue,0,"customer: Hi, I can’t track my order in the app."
1,ask_order_number,1,assistant: Sorry about that. Can you give me your order number?
2,provide_order_number,2,customer: It’s 67221.
3,diagnose_issue,3,"assistant: Thank you. I see the order is on its way, but the tracking system is delayed."
4,offer_solution,4,assistant: Your delivery should still arrive within the scheduled slot.
5,acknowledge,5,"customer: Okay, thanks for checking."
